Date,Region,Article Count,Country,DateTime,Cases,Deaths
2020/01/23,china,3514.0,China,2020-01-23,643,18
2020/01/24,china,7812.0,China,2020-01-24,920,26
2020/01/25,china,12292.0,China,2020-01-25,1406,42
2020/01/26,china,15428.0,China,2020-01-26,2075,56
2020/01/27,china,18116.0,China,2020-01-27,2877,82
2020/01/28,china,24220.0,China,2020-01-28,5509,131
2020/01/29,china,32368.0,China,2020-01-29,6087,133
2020/01/30,china,42238.0,China,2020-01-30,8141,171
2020/01/31,china,52808.0,China,2020-01-31,9802,213
2020/02/01,china,63392.0,China,2020-02-01,11891,259
2020/02/02,china,68642.0,China,2020-02-02,16630,361
2020/02/03,china,73808.0,China,2020-02-03,19716,425
2020/02/04,china,82684.0,China,2020-02-04,23707,491
2020/02/05,china,91770.0,China,2020-02-05,27440,563
2020/02/06,china,99932.0,China,2020-02-06,30587,633
2020/02/07,china,108094.0,China,2020-02-07,34110,718
2020/02/08,china,115150.0,China,2020-02-08,36814,805
2020/02/09,china,118930.0,China,2020-02-09,39829,905
2020/02/10,china,122402.0,China,2020-02-10,42354,1012
2020/02/11,china,129206.0,China,2020-02-11,44386,1112
2020/02/12,china,135772.0,China,2020-02-12,44759,1117
2020/02/13,china,142198.0,China,2020-02-13,59895,1369
2020/02/14,china,149352.0,China,2020-02-14,66358,1521
2020/02/15,china,155750.0,China,2020-02-15,68413,1663
2020/02/16,china,159068.0,China,2020-02-16,70513,1766
2020/02/17,china,161504.0,China,2020-02-17,72434,1864
2020/02/18,china,168154.0,China,2020-02-18,74211,2003
2020/02/19,china,174328.0,China,2020-02-19,74619,2116
2020/02/20,china,205534.0,China,2020-02-20,75077,2238
2020/02/21,china,213808.0,China,2020-02-21,75550,2238
2020/02/22,china,221844.0,China,2020-02-22,77001,2443
2020/02/23,china,226072.0,China,2020-02-23,77022,2445
2020/02/24,china,229236.0,China,2020-02-24,77241,2595
2020/02/25,china,236460.0,China,2020-02-25,77754,2665
2020/02/26,china,243922.0,China,2020-02-26,78166,2717
2020/02/27,china,276430.0,China,2020-02-27,78600,2746
2020/02/28,china,285446.0,China,2020-02-28,78928,2790
2020/02/29,china,293118.0,China,2020-02-29,79356,2837
2020/03/02,china,296548.0,China,2020-03-02,80136,2914
2020/03/03,china,303394.0,China,2020-03-03,80261,2947
2020/03/04,china,309526.0,China,2020-03-04,80386,2983
2020/03/05,china,314958.0,China,2020-03-05,80537,3015
2020/03/06,china,321202.0,China,2020-03-06,80690,3044
2020/03/07,china,326914.0,China,2020-03-07,80770,3072
2020/03/08,china,330092.0,China,2020-03-08,80823,3100
2020/03/09,china,332836.0,China,2020-03-09,80860,3123
2020/03/10,china,338212.0,China,2020-03-10,80887,3139
2020/03/11,china,345142.0,China,2020-03-11,80921,3161
2020/03/12,china,351708.0,China,2020-03-12,80932,3172
2020/03/13,china,357770.0,China,2020-03-13,80945,3180
2020/03/14,china,363804.0,China,2020-03-14,80977,3193
2020/03/15,china,367388.0,China,2020-03-15,81003,3203
2020/03/16,china,370482.0,China,2020-03-16,81033,3217
2020/03/17,china,377314.0,China,2020-03-17,81058,3230
2020/01/23,iran,28.0,Iran,2020-01-23,1,1
2020/01/24,iran,28.0,Iran,2020-01-24,1,1
2020/01/25,iran,56.0,Iran,2020-01-25,1,1
2020/01/26,iran,70.0,Iran,2020-01-26,1,1
2020/01/27,iran,70.0,Iran,2020-01-27,1,1
2020/01/28,iran,70.0,Iran,2020-01-28,1,1
2020/01/29,iran,70.0,Iran,2020-01-29,1,1
2020/01/30,iran,126.0,Iran,2020-01-30,1,1
2020/01/31,iran,126.0,Iran,2020-01-31,1,1
2020/02/01,iran,224.0,Iran,2020-02-01,1,1
2020/02/02,iran,280.0,Iran,2020-02-02,1,1
2020/02/03,iran,294.0,Iran,2020-02-03,1,1
2020/02/04,iran,364.0,Iran,2020-02-04,1,1
2020/02/05,iran,420.0,Iran,2020-02-05,1,1
2020/02/06,iran,476.0,Iran,2020-02-06,1,1
2020/02/07,iran,504.0,Iran,2020-02-07,1,1
2020/02/08,iran,546.0,Iran,2020-02-08,1,1
2020/02/09,iran,560.0,Iran,2020-02-09,1,1
2020/02/10,iran,574.0,Iran,2020-02-10,1,1
2020/02/11,iran,616.0,Iran,2020-02-11,1,1
2020/02/12,iran,644.0,Iran,2020-02-12,1,1
2020/02/13,iran,644.0,Iran,2020-02-13,1,1
2020/02/14,iran,672.0,Iran,2020-02-14,1,1
2020/02/15,iran,686.0,Iran,2020-02-15,1,1
2020/02/16,iran,686.0,Iran,2020-02-16,1,1
2020/02/17,iran,686.0,Iran,2020-02-17,1,1
2020/02/18,iran,756.0,Iran,2020-02-18,1,1
2020/02/19,iran,798.0,Iran,2020-02-19,2,2
2020/02/20,iran,994.0,Iran,2020-02-20,5,2
2020/02/21,iran,1218.0,Iran,2020-02-21,18,4
2020/02/22,iran,1694.0,Iran,2020-02-22,28,5
2020/02/23,iran,2184.0,Iran,2020-02-23,43,8
2020/02/24,iran,2982.0,Iran,2020-02-24,61,12
2020/02/25,iran,4228.0,Iran,2020-02-25,95,16
2020/02/26,iran,5712.0,Iran,2020-02-26,139,19
2020/02/27,iran,6832.0,Iran,2020-02-27,245,26
2020/02/28,iran,8120.0,Iran,2020-02-28,388,34
2020/02/29,iran,9170.0,Iran,2020-02-29,593,43
2020/03/02,iran,9786.0,Iran,2020-03-02,1501,66
2020/03/03,iran,10962.0,Iran,2020-03-03,2336,77
2020/03/04,iran,12152.0,Iran,2020-03-04,2922,92
2020/03/05,iran,12950.0,Iran,2020-03-05,3513,107
2020/03/06,iran,13790.0,Iran,2020-03-06,4747,124
2020/03/07,iran,14322.0,Iran,2020-03-07,5823,145
2020/03/08,iran,14910.0,Iran,2020-03-08,6566,194
2020/03/09,iran,15330.0,Iran,2020-03-09,7161,237
2020/03/10,iran,16016.0,Iran,2020-03-10,8042,291
2020/03/11,iran,16548.0,Iran,2020-03-11,9000,354
2020/03/12,iran,17304.0,Iran,2020-03-12,10075,429
2020/03/13,iran,18046.0,Iran,2020-03-13,11364,514
2020/03/14,iran,18788.0,Iran,2020-03-14,12729,611
2020/03/15,iran,19278.0,Iran,2020-03-15,13938,724
2020/03/16,iran,19866.0,Iran,2020-03-16,14991,853
2020/03/17,iran,20482.0,Iran,2020-03-17,16169,988
2020/01/23,italy,266.0,Italy,2020-01-23,1,1
2020/01/24,italy,756.0,Italy,2020-01-24,1,1
2020/01/25,italy,1204.0,Italy,2020-01-25,1,1
2020/01/26,italy,1680.0,Italy,2020-01-26,1,1
2020/01/27,italy,1932.0,Italy,2020-01-27,1,1
2020/01/28,italy,2576.0,Italy,2020-01-28,1,1
2020/01/29,italy,3206.0,Italy,2020-01-29,1,1
2020/01/30,italy,4242.0,Italy,2020-01-30,1,1
2020/01/31,italy,5936.0,Italy,2020-01-31,2,1
2020/02/01,italy,8526.0,Italy,2020-02-01,2,1
2020/02/02,italy,9870.0,Italy,2020-02-02,2,1
2020/02/03,italy,11284.0,Italy,2020-02-03,2,1
2020/02/04,italy,12852.0,Italy,2020-02-04,2,1
2020/02/05,italy,14350.0,Italy,2020-02-05,2,1
2020/02/06,italy,15974.0,Italy,2020-02-06,2,1
2020/02/07,italy,17458.0,Italy,2020-02-07,3,1
2020/02/08,italy,18956.0,Italy,2020-02-08,3,1
2020/02/09,italy,19950.0,Italy,2020-02-09,3,1
2020/02/10,italy,20664.0,Italy,2020-02-10,3,1
2020/02/11,italy,21966.0,Italy,2020-02-11,3,1
2020/02/12,italy,23058.0,Italy,2020-02-12,3,1
2020/02/13,italy,24206.0,Italy,2020-02-13,3,1
2020/02/14,italy,25186.0,Italy,2020-02-14,3,1
2020/02/15,italy,26054.0,Italy,2020-02-15,3,1
2020/02/16,italy,26838.0,Italy,2020-02-16,3,1
2020/02/17,italy,27412.0,Italy,2020-02-17,3,1
2020/02/18,italy,28518.0,Italy,2020-02-18,3,1
2020/02/19,italy,29736.0,Italy,2020-02-19,3,1
2020/02/20,italy,31178.0,Italy,2020-02-20,3,1
2020/02/21,italy,32228.0,Italy,2020-02-21,20,1
2020/02/22,italy,35252.0,Italy,2020-02-22,62,2
2020/02/23,italy,40922.0,Italy,2020-02-23,155,3
2020/02/24,italy,47768.0,Italy,2020-02-24,229,7
2020/02/25,italy,60690.0,Italy,2020-02-25,322,10
2020/02/26,italy,76384.0,Italy,2020-02-26,453,12
2020/02/27,italy,91252.0,Italy,2020-02-27,655,17
2020/02/28,italy,103264.0,Italy,2020-02-28,888,21
2020/02/29,italy,113148.0,Italy,2020-02-29,1128,29
2020/03/02,italy,119098.0,Italy,2020-03-02,2036,52
2020/03/03,italy,127932.0,Italy,2020-03-03,2502,79
2020/03/04,italy,138124.0,Italy,2020-03-04,3089,107
2020/03/05,italy,149254.0,Italy,2020-03-05,3858,148
2020/03/06,italy,160748.0,Italy,2020-03-06,4636,197
2020/03/07,italy,172956.0,Italy,2020-03-07,5883,233
2020/03/08,italy,181454.0,Italy,2020-03-08,7375,366
2020/03/09,italy,191506.0,Italy,2020-03-09,9172,463
2020/03/10,italy,206234.0,Italy,2020-03-10,10149,631
